year,Base case cost,Modeled water and wastewater efficiency
2017,85556.8952739,62644.7609997
2018,87896.2293786,64129.575833
2019,91275.8522348,66291.4149809
2020,92834.6098438,67270.4893806
2021,93959.5040579,67968.3226499
2022,94824.1332344,68497.7500383
2023,95428.315129,68858.6211163
2024,95858.9674328,69107.4303753
2025,96462.7245971,69469.4647781
2026,97152.9826933,69888.4213613
2027,97756.1913769,70251.4630628
2028,98185.9520483,70502.4340761
2029,98876.4307741,70923.5805591
2030,99306.4721119,71176.0594825
2031,99996.0865667,71597.8599496
