year,Base case cost,Modeled residential energy efficiency
2017,218108.263958,226559.481419
2018,233410.752694,239986.05556
2019,254834.236924,258783.259356
2020,265327.372057,267990.053052
2021,260889.971714,262695.091751
2022,266330.292453,267438.644213
2023,269678.182139,270357.75342
2024,272607.585615,272911.973976
2025,276373.961511,276195.971834
2026,280558.823619,279844.858343
2027,284325.199516,283128.856201
2028,274641.930779,273070.404545
2029,291439.465099,289331.963266
2030,293950.382363,291521.295171
2031,298553.730681,295535.070331
2032,303157.079,299548.845491
2033,294230.095203,290032.288536
2034,298627.438237,293840.058411
2035,301825.505898,296609.345593
2036,306622.60739,300763.276366
