year,annotation,Average Load
2003,,137.0
2004,,135.0
2005,,131.0
2006,,136.0
2007,,135.0
2008,,132.0
2009,,128.0
2010,,127.0
2011,,130.0
2012,,141.0
2013,,145.0
2014,start of forecast,140.0
2015,,140.0
2016,,141.0
2017,,142.0
2018,,143.0
2019,,144.0
2020,,145.0
2021,,146.0
2022,,147.0
2023,,148.0
2024,,149.0
2025,,149.0
2026,,150.0
2027,,151.0
2028,,152.0
2029,,153.0
2030,,154.0
2031,,154.0
2032,,155.0
2033,,156.0
2034,,157.0
2035,,158.0
2036,,159.0
2037,,160.0
2038,,161.0
2039,,162.0
2040,,163.0
