year,Base case cost,Modeled solar power (pv)
2016,247220.835453,260748.688619
2017,295832.143266,308590.968031
2018,333992.401003,346199.796175
2019,384935.773425,396379.090533
2020,410137.022226,421268.992544
2021,430017.469936,440934.47472
2022,443883.067158,454679.237836
2023,455304.467184,466018.016858
2024,464228.90174,474897.153413
2025,474668.225532,485274.777872
2026,487814.12211,498325.504856
2027,499689.182726,510142.086202
2028,509556.850202,519969.909719
2029,522396.397627,532719.580015
2030,530919.206976,541222.150101
2031,544264.450372,554480.843986
2032,558056.758322,568188.503505
2033,572315.91893,582364.891882
2034,587563.751807,597515.416541
2035,598071.234621,607992.706556
