year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6477.75707542,4210.54209902
2018,6477.41886686,4210.32226346
2019,6476.88658651,4209.97628123
2020,6476.06360336,4209.44134219
2021,6475.15316645,4208.84955819
2022,6474.02652438,4208.11724084
2023,6472.7678919,4207.29912973
2024,6471.28441686,4206.33487096
2025,6469.70808967,4205.31025828
2026,6468.11578327,4204.27525913
2027,6466.61284707,4203.2983506
2028,6465.11992487,4202.32795116
2029,6463.76730658,4201.44874927
2030,6461.92802426,4200.25321577
2031,6460.23654961,4199.15375725
