year,annotation,Average Load
2003,,1206.0
2004,,818.0
2005,,496.0
2006,,173.0
2007,,11.0
2008,,-86.0
2009,,-150.0
2010,,11.0
2011,,68.0
2012,,71.0
2013,,65.0
2014,,56.0
2015,,54.0
2016,start of forecast,58.0
2017,,54.0
2018,,50.0
2019,,44.0
2020,,34.0
2021,,23.0
2022,,10.0
2023,,-5.0
2024,,-23.0
2025,,-42.0
2026,,-61.0
2027,,-79.0
2028,,-97.0
2029,,-113.0
2030,,-135.0
2031,,-155.0
2032,,-177.0
2033,,-199.0
2034,,-222.0
2035,,-245.0
2036,,-263.0
2037,,-281.0
2038,,-300.0
2039,,-322.0
2040,,-345.0
