year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.3
2004,,,3.1
2005,,,3.86
2006,,,4.57
2008,,,5.04
2009,,,6.5
2010,,,5.25
2011,,5.18,6.05
2012,,6.3,5.76
2013,,7.3,6.49
2014,,7.46,7.74
2016,start of forecast,5.03,5.75
2017,,5.36,6.08
2018,,5.62,6.34
2019,,5.98,6.7
2020,,6.15,6.87
2021,,6.26,6.98
2022,,6.35,7.07
2023,,6.42,7.14
2024,,6.47,7.19
2025,,6.53,7.25
2026,,6.61,7.33
2027,,6.67,7.39
2028,,6.72,7.44
2029,,6.79,7.51
2030,,6.84,7.56
2031,,6.91,7.63
2032,,6.99,7.71
2033,,7.07,7.79
2034,,7.16,7.88
2035,,7.21,7.93
2036,,7.3,8.02
2037,,7.35,8.07
2038,,7.43,8.15
2039,,7.5,8.22
2040,,7.6,8.32
