year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,65635.97,598629.15,390666.83,70057.11,344827.75,204096.01
2018,69486.41,633818.3,412452.45,73773.38,363192.92,214965.96
2019,74691.55,681323.65,441863.04,78803.89,387985.91,229640.38
2020,77091.03,703316.86,455479.06,81113.41,399464.14,236434.1
2021,78723.23,718272.25,464737.95,82685.01,407269.34,241053.83
2022,79987.85,729708.73,471818.28,83917.77,413238.02,244586.56
2023,80868.38,737626.28,476720.04,84780.65,417370.19,247032.3
2024,81554.84,743784.39,480532.53,85454.74,420584.09,248934.54
2025,82428.03,751701.94,485434.29,86303.78,424716.26,251380.27
2026,83389.58,760499.23,490880.7,87230.9,429307.55,254097.76
2027,84253.78,768416.79,495782.46,88063.08,433439.72,256543.5
2028,84921.93,774574.89,499594.95,88702.85,436653.62,258445.74
2029,85892.48,783372.18,505041.35,89646.84,441244.92,261163.23
2030,86467.95,788650.55,508309.2,90200.41,443999.69,262793.72
2031,87441.84,797447.84,513755.6,91150.61,448590.99,265511.2
2032,,,519746.65,,,268500.44
2033,,,525737.7,,,271489.68
2034,,,531728.74,,,274478.91
2035,,,535541.23,,,276381.15
2036,,,541532.27,,,279370.39
