year,Base case cost,Modeled water and wastewater efficiency
2017,10394.3463845,12022.088215
2018,11043.5565915,12355.5633976
2019,11877.0368436,12818.0304384
2020,12303.4894317,13003.7701138
2021,12638.0135565,13128.9390847
2022,12884.2631568,13195.8978443
2023,13062.5983193,13218.5791177
2024,13221.0555105,13229.9559726
2025,13423.6920309,13273.9669081
2026,13646.2764081,13334.0200171
2027,13842.121939,13377.8555854
2028,14037.6273218,13423.5811197
2029,14246.8792378,13480.7773377
2030,14390.8348878,13495.1623707
2031,14591.4077211,13550.3584303
