year,Base case cost,Modeled non-residential energy efficiency
2017,313520.531838,308722.091965
2018,330677.687989,324002.943255
2019,353553.896191,344584.08324
2020,363848.189881,353547.71618
2021,371282.957547,359880.941262
2022,376430.104392,364112.126189
2023,379861.535622,366769.645775
2024,382721.061647,368910.552955
2025,386724.398083,372120.578625
2026,390727.734518,375342.104433
2027,394159.165748,378046.189668
2028,397590.596978,380761.242292
2029,401593.933414,384015.676424
2030,403881.554234,385694.556355
2031,407884.890669,388969.663976
