year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,53806.0,43236.126704
2018,53816.0,43246.126704
2019,54414.0,43844.126704
2020,54422.0,43852.126704
2021,54431.0,43861.126704
2022,54438.0,43868.126704
2023,54444.0,43874.126704
2024,55039.0,44469.126704
2025,55045.0,44475.126704
2026,55053.0,44483.126704
2027,55060.0,44490.126704
2028,55656.0,45086.126704
2029,55662.0,45092.126704
2030,55668.0,45098.126704
2031,55673.0,45103.126704
2032,55678.0,45108.126704
2033,55683.0,45113.126704
2034,55687.0,45117.126704
2035,56281.0,45711.126704
2036,56284.0,45714.126704
