year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,40562.0465116,30015.9144186
2018,40562.0465116,30015.9144186
2019,40562.0465116,30015.9144186
2020,40562.0465116,30015.9144186
2021,40562.0465116,30015.9144186
2022,40562.0465116,30015.9144186
2023,40562.0465116,30015.9144186
2024,40562.0465116,30015.9144186
2025,40562.0465116,30015.9144186
2026,40562.0465116,30015.9144186
2027,40562.0465116,30015.9144186
2028,40562.0465116,30015.9144186
2029,40562.0465116,30015.9144186
2030,40562.0465116,30015.9144186
2031,40562.0465116,30015.9144186
