year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,183701.93,8688.56,131734.54,117347.22
2018,185009.63,8698.92,131734.54,118428.23
2019,186407.95,8708.76,131734.54,120590.26
2020,187932.77,8718.62,131734.54,121671.27
2021,190323.31,8735.57,131734.54,124914.31
2022,191759.81,8745.21,131734.54,125995.32
2023,193567.68,8757.57,131734.54,128157.35
2024,194848.26,8766.55,131734.54,129238.36
2025,196500.03,8777.94,131734.54,131400.39
2026,199371.17,8797.52,131734.54,134643.43
2027,201233.94,8810.4,131734.54,136805.45
2028,202956.06,8822.08,131734.54,138967.48
2029,204534.26,8833.26,131734.54,140048.49
2030,206255.29,8844.95,131734.54,142210.52
2031,208263.79,8858.89,131734.54,144372.54
2032,210056.94,,,146534.57
2033,211850.02,,,148696.6
2034,214145.29,,,150858.62
2035,216010.15,,,153020.65
2036,217803.29,,,155182.67
