year,Base case cost,Modeled residential energy efficiency
2017,725576.366746,703174.125823
2018,772629.42513,740437.54161
2019,844144.216411,798246.833256
2020,878158.353938,825995.599521
2021,919803.967383,863333.770224
2022,943074.868514,883080.40002
2023,967644.437839,905692.040825
2024,984446.760299,920536.434766
2025,1011310.55949,945050.719731
2026,1048579.75169,979578.812008
2027,1076246.02222,1004895.56832
2028,1102363.21485,1029054.83242
2029,1122204.91913,1046547.02249
2030,1146916.33232,1069692.09285
2031,1177750.95328,1097785.61389
2032,1210980.11302,1127882.088
2033,1242645.86502,1156806.74007
2034,1276763.47518,1187791.6646
2035,1303022.51166,1212484.35827
2036,1337942.59317,1244271.75414
