year,Base case cost,Modeled non-residential energy efficiency
2017,114570.41894,134918.157613
2018,122484.610479,142560.290968
2019,133036.865866,152749.802109
2020,138312.993559,157844.557679
2021,141830.412021,161241.061392
2022,144761.594073,164071.481153
2023,146520.303304,165769.73301
2024,147985.89433,167184.942891
2025,150037.721767,169166.236723
2026,152382.667408,171430.572532
2027,154141.376639,173128.824389
2028,155900.08587,174827.076246
2029,157951.913307,176808.370079
2030,159124.386127,177940.537983
2031,161469.331769,180204.873792
