year,Base case diesel consumed,Modeled non-residential ashp
2017,7631.33839442,0.434054095392
2018,8119.24142626,488.337085941
2019,8119.24142626,488.337085941
2020,8119.24142626,488.337085941
2021,8119.24142626,488.337085941
2022,8119.24142626,488.337085941
2023,8119.24142626,488.337085941
2024,7631.33839442,0.434054095392
2025,7631.33839442,0.434054095392
2026,7631.33839442,0.434054095392
2027,7631.33839442,0.434054095392
2028,7631.33839442,0.434054095392
2029,7143.43536257,-487.46897775
2030,7143.43536257,-487.46897775
2031,6655.53233073,-975.372009596
