year,Base case cost,Modeled biomass for heat (pellet)
2017,596819.721165,695981.26669
2018,652721.871165,735859.438775
2019,729328.521165,790507.304224
2020,768667.071165,818569.721617
2021,793512.471165,836293.353655
2022,814216.971165,851063.047019
2023,826639.671165,859924.863038
2024,839062.371165,868786.679057
2025,851485.071165,877648.495076
2026,868048.671165,889464.249768
2027,882541.821165,899803.035123
2028,894964.521165,908664.851142
2029,909457.671165,919003.636497
2030,919809.921165,926388.483179
2031,936373.521165,938204.237871
2032,,
2033,,
2034,,
2035,,
2036,,
