year,Base case cost,Modeled biomass for heat (cordwood)
2017,596819.721165,785907.713578
2018,652721.871165,827242.610928
2019,729328.521165,883886.729518
2020,768667.071165,912974.249875
2021,793512.471165,931345.315364
2022,814216.971165,946654.536604
2023,826639.671165,955840.069349
2024,839062.371165,965025.602093
2025,851485.071165,974211.134838
2026,868048.671165,986458.51183
2027,882541.821165,997174.966698
2028,894964.521165,1006360.49944
2029,909457.671165,1017076.95431
2030,919809.921165,1024731.56493
2031,936373.521165,1036978.94192
2032,,
2033,,
2034,,
2035,,
2036,,
