year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,207045.0,153092.212406
2018,207045.0,153092.212406
2019,207045.0,153092.212406
2020,207045.0,153092.212406
2021,207045.0,153092.212406
2022,207045.0,153092.212406
2023,207045.0,153092.212406
2024,207045.0,153092.212406
2025,207045.0,153092.212406
2026,207045.0,153092.212406
2027,207045.0,153092.212406
2028,207045.0,153092.212406
2029,207045.0,153092.212406
2030,207045.0,153092.212406
2031,207045.0,153092.212406
2032,,
2033,,
2034,,
2035,,
2036,,
