year,Base case cost,Modeled non-residential energy efficiency
2017,560628.780171,538258.447172
2018,580276.202565,557653.373663
2019,608796.654427,585807.299214
2020,622106.198629,598945.797804
2021,631613.015916,608330.439655
2022,638584.681927,615212.510345
2023,643021.196661,619592.009875
2024,647457.711395,623971.509405
2025,651894.226129,628351.008936
2026,658232.10432,634607.436836
2027,663302.406873,639612.579156
2028,667105.133788,643366.435896
2029,672809.224161,648997.221006
2030,675978.163256,652125.434957
2031,682316.041448,658381.862857
