year,Base case diesel consumed,Modeled non-residential ashp
2017,214.52369554,-251.83216433
2018,214.52369554,-251.83216433
2019,214.52369554,-251.83216433
2020,214.52369554,-251.83216433
2021,214.52369554,-251.83216433
2022,214.52369554,-251.83216433
2023,214.52369554,-251.83216433
2024,214.52369554,-251.83216433
2025,214.52369554,-251.83216433
2026,214.52369554,-251.83216433
2027,214.52369554,-251.83216433
2028,214.52369554,-251.83216433
2029,214.52369554,-251.83216433
2030,214.52369554,-251.83216433
2031,214.52369554,-251.83216433
