year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9118.47217343,5927.00691273
2018,9118.78963718,5927.21326417
2019,9119.23720903,5927.50418587
2020,9119.73722446,5927.8291959
2021,9120.26619727,5928.17302823
2022,9120.64798113,5928.42118773
2023,9120.94689614,5928.61548249
2024,9121.25662013,5928.81680308
2025,9121.74302424,5929.13296576
2026,9122.19820241,5929.42883157
2027,9123.19756603,5930.07841792
2028,9124.27285941,5930.77735861
2029,9124.97584346,5931.23429825
2030,9125.82214658,5931.78439528
2031,9126.6053306,5932.29346489
