year,Base case cost,"Kaltag (kaltag river s tributary) -- kaltag river, south tributary","Kaltag (north tributary kaltag river) -- kaltag river, north tributary"
2021,235459.018595,926320.702986,987902.259649
2022,242012.134363,915703.257974,976739.39483
2023,246394.893206,904002.20575,964389.018432
2024,250211.743964,892261.723834,951988.936093
2025,255129.38177,881588.428874,940739.404465
2026,260594.573896,871605.267176,930231.508674
2027,264963.471059,861212.786936,919271.190674
2028,269142.041458,851125.463952,908603.843854
2029,274065.656013,841719.316742,898699.171474
2030,277347.541931,831520.530829,887926.02885
2031,282818.039221,823064.362405,879038.890513
2032,288835.471892,815254.389095,870846.780599
2033,294692.799093,807744.965603,862940.888333
2034,300718.150781,800489.703353,855337.182
2035,304552.443204,792043.273798,846433.051946
2036,310577.750177,785309.428236,839382.893985
2037,314412.051236,777372.247069,831019.390923
2038,320437.367794,771135.715507,824497.190127
2039,324819.415577,764047.912499,817044.36838
2040,331392.49142,758649.389288,811420.777726
2041,331392.490885,749114.828022,801298.710873
2042,331392.490686,739803.733361,791413.880287
2043,331392.490997,730710.8679,781760.725832
2044,331392.490856,721831.11609,772333.816805
2045,331392.490846,713159.483603,763127.851099
2046,331392.4909,704691.09256,754137.650271
2047,331392.490867,696421.179379,745358.157224
2048,331392.490871,688345.092255,736784.433508
2049,331392.490879,680458.288453,728411.656473
2050,331392.490873,672756.331608,720235.116393
2051,331392.490874,665234.889394,712250.21399
2052,331392.490876,657889.730952,704452.457705
2053,331392.490874,650716.724717,696837.461392
2054,331392.490875,643711.83577,689400.941507
2055,331392.490875,636871.123911,682138.715061
2056,331392.490875,630190.74124,675046.69705
2057,331392.490875,623666.930018,668120.898191
2058,331392.490875,617296.020681,661357.422805
2059,331392.490875,611074.429484,654752.466323
2060,331392.490875,604998.656809,648302.313487
2061,331392.490875,599065.285107,642003.336161
2062,331392.490875,593270.976756,635851.991065
2063,331392.490875,587612.472522,629844.818136
2064,331392.490875,582086.589497,623978.438339
2065,331392.490875,576690.219404,618249.55187
2066,331392.490875,571420.326611,612654.936046
2067,331392.490875,566273.947026,607191.444132
2068,331392.490875,561248.185672,601856.002767
2069,331392.490875,556340.21565,596645.610862
2070,331392.490875,551547.276159,591557.3375
