year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,669848
2004,,0,0,0,0,0,664639
2005,,0,0,0,0,0,713658
2006,,0,0,0,0,0,732625
2007,,0,0,0,0,0,744494
2008,,0,0,0,0,0,754883
2009,,0,0,0,0,0,745913
2010,,0,0,0,0,0,780130
2011,,0,0,0,0,0,745495
2012,,0,0,374,0,0,773218
2013,,0,0,8880,0,0,726705
2014,start of forecast,0,0,3085,0,0,759915
2015,,0,0,4113,0,0,758887
2016,,0,0,5359,0,0,757641
2017,,0,0,4186,0,0,758814
2018,,0,0,4553,0,0,758447
2019,,0,0,4699,0,0,758301
2020,,0,0,4479,0,0,758521
2021,,0,0,4577,0,0,759423
2022,,0,0,4585,0,0,759415
2023,,0,0,4547,0,0,759453
2024,,0,0,4570,0,0,759430
2025,,0,0,4567,0,0,759433
2026,,0,0,4561,0,0,759439
2027,,0,0,4566,0,0,759434
2028,,0,0,4565,0,0,760435
2029,,0,0,4564,0,0,760436
2030,,0,0,4565,0,0,760435
2031,,0,0,4565,0,0,760435
2032,,0,0,4565,0,0,760435
2033,,0,0,4565,0,0,761435
2034,,0,0,4565,0,0,761435
2035,,0,0,4565,0,0,761435
2036,,0,0,4565,0,0,761435
2037,,0,0,4565,0,0,761435
2038,,0,0,4565,0,0,761435
2039,,0,0,4565,0,0,761435
2040,,0,0,4565,0,0,761435
