year,Base case diesel consumed,Modeled solar power
2020,54565.9633021,54309.3648176
2021,54630.862783,54376.3170864
2022,54630.2786372,54377.7693061
2023,54633.0140146,54382.5247582
2024,54631.3851449,54382.8998026
2025,54631.5592656,54385.0618059
2026,54631.9861417,54387.4606617
2027,54631.6435174,54389.0742413
2028,54703.666963,54463.0382411
2029,54703.723755,54465.0200629
2030,54703.6571856,54466.863123
2031,54703.6826345,54468.7829244
2032,54703.6878584,54470.667346
2033,54775.6132143,54544.456866
2034,54775.61945,54546.3123525
2035,54775.6192814,54548.1466406
2036,54775.6173152,54549.9644556
2037,54775.6186822,54551.7710455
2038,54775.6184263,54553.5615706
2039,54775.6181412,54555.3377404
