year,Base case cost,Modeled water and wastewater efficiency
2017,108197.936094,86661.254558
2018,114603.197475,90909.0323098
2019,123500.555481,96903.4587794
2020,127599.821922,99550.6860902
2021,130455.672709,101334.243857
2022,132597.542093,102623.841055
2023,134026.553173,103420.174394
2024,135278.095287,104097.256749
2025,136889.339208,105030.387873
2026,138677.984422,106091.979998
2027,140123.402322,106918.454831
2028,141393.065955,107626.484867
2029,143010.472459,108581.511339
2030,144097.675241,109170.266595
2031,145895.601703,110259.605904
