year,Base case diesel consumed,"Kaltag (kaltag river s tributary) -- kaltag river, south tributary","Kaltag (north tributary kaltag river) -- kaltag river, north tributary"
2021,54630.862783,34242.3668524,37718.9624692
2022,54630.2786372,34241.7827066,37718.3783234
2023,54633.0140146,34244.518084,37721.1137007
2024,54631.3851449,34242.8892143,37719.4848311
2025,54631.5592656,34243.063335,37719.6589517
2026,54631.9861417,34243.4902111,37720.0858278
2027,54631.6435174,34243.1475868,37719.7432036
2028,54703.666963,34315.1710324,37791.7666491
2029,54703.723755,34315.2278244,37791.8234411
2030,54703.6571856,34315.161255,37791.7568718
2031,54703.6826345,34315.1867039,37791.7823207
2032,54703.6878584,34315.1919278,37791.7875445
2033,54775.6132143,34387.1172837,37863.7129004
2034,54775.61945,34387.1235194,37863.7191362
2035,54775.6192814,34387.1233508,37863.7189675
2036,54775.6173152,34387.1213846,37863.7170014
2037,54775.6186822,34387.1227516,37863.7183684
2038,54775.6184263,34387.1224956,37863.7181124
2039,54775.6181412,34387.1222106,37863.7178274
2040,54775.6184166,34387.1224859,37863.7181027
2041,54775.618328,34387.1223974,37863.7180142
2042,54775.6182953,34387.1223647,37863.7179814
2043,54775.6183466,34387.122416,37863.7180328
2044,54775.6183233,34387.1223927,37863.7180095
2045,54775.6183217,34387.1223911,37863.7180079
2046,54775.6183306,34387.1223999,37863.7180167
2047,54775.6183252,34387.1223946,37863.7180113
2048,54775.6183258,34387.1223952,37863.718012
2049,54775.6183272,34387.1223966,37863.7180133
2050,54775.6183261,34387.1223955,37863.7180122
2051,54775.6183264,34387.1223957,37863.7180125
2052,54775.6183265,34387.1223959,37863.7180127
2053,54775.6183263,34387.1223957,37863.7180125
2054,54775.6183264,34387.1223958,37863.7180126
2055,54775.6183264,34387.1223958,37863.7180126
2056,54775.6183264,34387.1223958,37863.7180125
2057,54775.6183264,34387.1223958,37863.7180126
2058,54775.6183264,34387.1223958,37863.7180126
2059,54775.6183264,34387.1223958,37863.7180125
2060,54775.6183264,34387.1223958,37863.7180126
2061,54775.6183264,34387.1223958,37863.7180126
2062,54775.6183264,34387.1223958,37863.7180126
2063,54775.6183264,34387.1223958,37863.7180126
2064,54775.6183264,34387.1223958,37863.7180126
2065,54775.6183264,34387.1223958,37863.7180126
2066,54775.6183264,34387.1223958,37863.7180126
2067,54775.6183264,34387.1223958,37863.7180126
2068,54775.6183264,34387.1223958,37863.7180126
2069,54775.6183264,34387.1223958,37863.7180126
2070,54775.6183264,34387.1223958,37863.7180126
