year,Base case cost,Modeled solar power
2020,226448.747704,227472.902339
2021,235459.018595,236406.597426
2022,242012.134363,242894.875184
2023,246394.893206,247224.259313
2024,250211.743964,250991.474136
2025,255129.38177,255855.733287
2026,260594.573896,261266.341743
2027,264963.471059,265586.759745
2028,269142.041458,269720.40663
2029,274065.656013,274595.409808
2030,277347.541931,277836.927126
2031,282818.039221,283258.661081
2032,288835.471892,289226.129649
2033,294692.799093,295036.947567
2034,300718.150781,301014.579767
2035,304552.443204,304811.348695
2036,310577.750177,310791.035136
2037,314412.051236,314589.722857
2038,320437.367794,320571.432337
2039,324819.415577,324917.492784
