year,Base case cost,Modeled non-residential energy efficiency
2017,555549.371029,555679.3313
2018,590724.050553,585992.778865
2019,639577.772114,628761.520121
2020,662050.484032,647619.437698
2021,677683.674931,660304.800334
2022,689408.568106,669477.631357
2023,697225.163556,675137.103521
2024,704064.684574,679943.279393
2025,712858.354455,686556.240493
2026,722629.098768,694088.25958
2027,730445.694217,699877.713847
2028,737285.215236,704810.825381
2029,746078.885117,711547.747072
2030,751941.331704,715652.994199
2031,761712.076016,723334.580122
