year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,90099.0,73669.9255466
2018,90100.0,73670.9255466
2019,90100.0,73670.9255466
2020,90101.0,73671.9255466
2021,90643.0,74213.9255466
2022,90644.0,74214.9255466
2023,90644.0,74214.9255466
2024,90644.0,74214.9255466
2025,90645.0,74215.9255466
2026,90645.0,74215.9255466
2027,90646.0,74216.9255466
2028,91188.0,74758.9255466
2029,91189.0,74759.9255466
2030,91190.0,74760.9255466
2031,91191.0,74761.9255466
2032,91733.0,75303.9255466
2033,91734.0,75304.9255466
2034,91735.0,75305.9255466
2035,91736.0,75306.9255466
2036,91736.0,75306.9255466
