year,Base case diesel consumed,Modeled residential ashp
2017,9373.76877989,3197.0138552
2018,9373.76877989,3197.0138552
2019,9373.76877989,3197.0138552
2020,9373.76877989,3197.0138552
2021,9373.76877989,3197.0138552
2022,9373.76877989,3197.0138552
2023,9373.76877989,3197.0138552
2024,9373.76877989,3197.0138552
2025,9373.76877989,3197.0138552
2026,9373.76877989,3197.0138552
2027,9373.76877989,3197.0138552
2028,9373.76877989,3197.0138552
2029,9373.76877989,3197.0138552
2030,9373.76877989,3197.0138552
2031,9373.76877989,3197.0138552
