year,Base case diesel consumed,Modeled transmission and interties
2021,193775.201959,96887.6009793
2022,193775.201959,96887.6009793
2023,193928.26294,96964.1314698
2024,194081.323921,97040.6619603
2025,194081.323921,97040.6619603
2026,194234.384902,97117.1924508
2027,194387.445883,97193.7229413
2028,194540.506864,97270.2534319
2029,194999.689807,97499.8449034
2030,195305.811769,97652.9058844
2031,195611.933731,97805.9668654
2032,195764.994712,97882.4973559
2033,195764.994712,97882.4973559
2034,195918.055693,97959.0278464
2035,196071.116674,98035.5583369
2036,196377.238636,98188.6193179
2037,196683.360598,98341.6802989
2038,196989.48256,98494.7412799
2039,197142.543541,98571.2717704
2040,197295.604522,98647.8022609
