year,Base case cost,Modeled water and wastewater efficiency
2017,85926.8773353,131900.095691
2018,88092.054849,131687.422284
2019,91108.8981269,132068.78201
2020,92554.0839741,131461.332135
2021,93487.5287564,130555.679084
2022,94207.7728848,129546.397169
2023,94707.5438033,128427.586755
2024,95061.6681436,127247.413594
2025,95546.0554629,126184.901054
2026,96093.6974984,125195.710888
2027,96560.2418905,124184.750674
2028,96883.6451412,123111.087461
2029,97477.2162621,122246.073134
2030,97777.4581231,121218.479966
2031,98419.1154715,120442.077839
