year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6912.40277985,4493.0618069
2018,6906.80735817,4489.42478281
2019,6902.12426284,4486.38077084
2020,6895.72448242,4482.22091357
2021,6887.15725212,4476.65221388
2022,6878.72228214,4471.16948339
2023,6869.23462792,4465.00250815
2024,6859.25572104,4458.51621868
2025,6847.9758044,4451.18427286
2026,6835.97790311,4443.38563702
2027,6822.73027667,4434.77467983
2028,6809.30450366,4426.04792738
2029,6804.47565205,4422.90917383
2030,6797.81944854,4418.58264155
2031,6790.31569926,4413.70520452
