year,Base case diesel consumed,Modeled residential ashp
2017,1423374.03555,543362.702415
2018,1421138.64205,541127.308912
2019,1418903.24854,538891.915408
2020,1416667.85504,536656.521905
2021,1414432.46154,534421.128402
2022,1409961.67453,529950.341396
2023,1407726.28103,527714.947892
2024,1403255.49402,523244.160886
2025,1398784.70702,518773.373879
2026,1394313.92001,514302.586873
2027,1389843.133,509831.799867
2028,1385372.346,505361.01286
2029,1383136.95249,503125.619357
2030,1380901.55899,500890.225854
2031,1376430.77198,496419.438847
