year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,770562.0,569775.239028
2018,770562.0,569775.239028
2019,770562.0,569775.239028
2020,770562.0,569775.239028
2021,770562.0,569775.239028
2022,770562.0,569775.239028
2023,770562.0,569775.239028
2024,770562.0,569775.239028
2025,770562.0,569775.239028
2026,770562.0,569775.239028
2027,770562.0,569775.239028
2028,770562.0,569775.239028
2029,770562.0,569775.239028
2030,770562.0,569775.239028
2031,770562.0,569775.239028
2032,,
2033,,
2034,,
2035,,
2036,,
