year,Base case cost,Modeled biomass for heat (pellet)
2017,2043008.92151,2433968.32837
2018,2281883.14151,2598459.13546
2019,2613224.80151,2829052.16591
2020,2775042.82151,2938847.33903
2021,2882921.50151,3010295.96615
2022,2967683.32151,3065382.81102
2023,3029328.28151,3104104.84754
2024,3075562.00151,3131956.08613
2025,3137206.96151,3170921.50336
2026,3206557.54151,3215501.31528
2027,3268202.50151,3254698.83844
2028,3314436.22151,3283014.41947
2029,3383786.80151,3327930.26171
2030,3422314.90151,3350965.0426
2031,3499371.10151,3401588.94959
2032,,
2033,,
2034,,
2035,,
2036,,
