year,annotation,diesel generation efficiency
2002,,10.64
2003,,10.54
2004,,10.12
2005,,10.06
2006,,10.85
2007,,9.67
2008,,11.38
2009,,11.53
2010,,11.62
2011,,11.3
2012,,9.53
2013,,4.27
2014,,11.15
2015,,11.46
2016,start of forecast,8.96
2017,,8.96
2018,,8.96
2019,,8.96
2020,,8.96
2021,,8.96
2022,,8.96
2023,,8.96
2024,,8.96
2025,,8.96
2026,,8.96
2027,,8.96
2028,,8.96
2029,,8.96
2030,,8.96
2031,,8.96
2032,,8.96
2033,,8.96
2034,,8.96
2035,,8.96
2036,,8.96
2037,,8.96
2038,,8.96
2039,,8.96
2040,,8.96
