year,Base case cost,Modeled water and wastewater efficiency
2017,30662.4547886,35504.5280789
2018,32342.7743858,36221.3156264
2019,34674.8669274,37351.7310811
2020,35810.4693394,37745.3585795
2021,36614.6529752,37942.8543292
2022,37298.0109819,38076.6576564
2023,37778.9137504,38084.1586233
2024,38161.5095397,38037.7992683
2025,38595.3027425,38030.3456406
2026,39144.5016604,38103.5719342
2027,39636.2126848,38146.5328702
2028,40049.6606782,38150.316185
2029,40544.8682838,38208.5963535
2030,40938.654994,38209.7413048
2031,41505.1174866,38327.3668591
