year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,30579.75,2035.94,35877.51,35174.4
2018,30579.75,2039.38,35877.51,36255.41
2019,30691.35,2042.52,35877.51,37336.42
2020,30802.96,2045.59,35877.51,37336.42
2021,30914.56,2049.23,35877.51,38417.43
2022,31026.17,2053.82,35877.51,39498.45
2023,31026.17,2056.51,35877.51,40579.46
2024,31137.77,2059.26,35877.51,40579.46
2025,31249.38,2061.97,35877.51,41660.47
2026,31360.98,2065.1,35877.51,42741.49
2027,31360.98,2067.95,35877.51,42741.49
2028,31472.59,2071.54,35877.51,43822.5
2029,31584.19,2074.39,35877.51,44903.51
2030,31584.19,2077.22,35877.51,45984.53
2031,31695.8,2080.61,35877.51,45984.53
2032,31807.4,,,47065.54
2033,31919.01,,,48146.55
2034,32030.61,,,49227.56
2035,32142.22,,,49227.56
2036,32142.22,,,50308.58
