year,Base case cost,"Chuathbaluk, alaska heat recovery study"
2019,204866.062713,211624.315971
2020,212400.340699,218335.198436
2021,217423.192689,222677.601675
2022,221369.719253,226010.39313
2023,224239.92039,228333.345139
2024,226392.571243,229986.010514
2025,228903.997238,231987.497566
2026,232132.973517,234677.36941
2027,235003.174655,237036.093558
2028,237155.825508,238723.692663
2029,240026.026645,241099.069829
2030,242178.677498,242802.931648
2031,245407.653777,245533.965509
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
