year,Base case diesel consumed,Chuathbaluk (mission creek)
2021,30914.5635019,14265.8992044
2022,31026.1684243,14377.5041268
2023,31026.1684243,14377.5041268
2024,31137.7733466,14489.1090492
2025,31249.378269,14600.7139716
2026,31360.9831914,14712.318894
2027,31360.9831914,14712.318894
2028,31472.5881138,14823.9238164
2029,31584.1930362,14935.5287388
2030,31584.1930362,14935.5287388
2031,31695.7979586,15047.1336612
2032,31807.402881,15158.7385835
2033,31919.0078034,15270.3435059
2034,32030.6127258,15381.9484283
2035,32142.2176481,15493.5533507
2036,32142.2176481,15493.5533507
2037,32253.8225705,15605.1582731
2038,32365.4274929,15716.7631955
2039,32477.0324153,15828.3681179
2040,32588.6373377,15939.9730403
2041,32588.6373377,15939.9730403
2042,32700.2422601,16051.5779627
2043,32811.8471825,16163.182885
2044,32923.4521049,16274.7878074
2045,33035.0570273,16386.3927298
2046,33035.0570273,16386.3927298
2047,33146.6619497,16497.9976522
2048,33258.266872,16609.6025746
2049,33369.8717944,16721.207497
2050,33481.4767168,16832.8124194
2051,33481.4767168,16832.8124194
2052,33481.4767168,16832.8124194
2053,33481.4767168,16832.8124194
2054,33481.4767168,16832.8124194
2055,33481.4767168,16832.8124194
2056,33481.4767168,16832.8124194
2057,33481.4767168,16832.8124194
2058,33481.4767168,16832.8124194
2059,33481.4767168,16832.8124194
2060,33481.4767168,16832.8124194
2061,33481.4767168,16832.8124194
2062,33481.4767168,16832.8124194
2063,33481.4767168,16832.8124194
2064,33481.4767168,16832.8124194
2065,33481.4767168,16832.8124194
2066,33481.4767168,16832.8124194
2067,33481.4767168,16832.8124194
2068,33481.4767168,16832.8124194
2069,33481.4767168,16832.8124194
2070,33481.4767168,16832.8124194
