year,Base case cost,Chuathbaluk (mission creek)
2021,119330.215117,1482760.84803
2022,123173.888644,1456288.35171
2023,125655.982118,1429636.81359
2024,127976.248455,1403818.24703
2025,130622.401165,1378788.73905
2026,133911.398227,1354678.23122
2027,136420.276883,1330565.59947
2028,138794.113582,1307253.84664
2029,141813.026733,1284820.71803
2030,143708.078315,1262172.23917
2031,147068.502528,1241023.78742
2032,150449.015627,1220433.54346
2033,153849.617612,1200388.89491
2034,157590.614611,1181025.70522
2035,160068.243888,1161588.81571
2036,163282.465653,1142689.42928
2037,165784.648013,1124244.45472
2038,169594.840063,1106885.7277
2039,172777.812449,1089699.83842
2040,176956.300744,1073438.20717
2041,176956.300744,1055326.16753
2042,177562.315472,1038244.64354
2043,178168.330201,1021577.67131
2044,178774.344929,1005315.53465
2045,179380.359658,989448.745348
2046,179380.359658,973362.022642
2047,179986.374387,958258.347267
2048,180592.389115,943522.867753
2049,181198.403844,929146.95437
2050,181804.418572,915122.180028
2051,181804.418572,900834.300096
2052,181804.418572,886881.292342
2053,181804.418572,873255.308258
2054,181804.418572,859948.683062
2055,181804.418572,846953.931938
2056,181804.418572,834263.745305
2057,181804.418572,821870.984937
2058,181804.418572,809768.679841
2059,181804.418572,797950.022617
2060,181804.418572,786408.365094
2061,181804.418572,775137.215177
2062,181804.418572,764130.23284
2063,181804.418572,753381.22662
2064,181804.418572,742884.15033
2065,181804.418572,732633.099188
2066,181804.418572,722622.307023
2067,181804.418572,712846.142881
2068,181804.418572,703299.107507
2069,181804.418572,693975.830801
2070,181804.418572,684871.068418
