year,Base case cost,Modeled solar power (pv)
2016,70076.7307683,
2017,83788.5115331,
2018,93574.0311282,
2019,107726.651336,
2020,114587.005916,
2021,119330.215117,
2022,123173.888644,
2023,125655.982118,
2024,127976.248455,
2025,130622.401165,
2026,133911.398227,
2027,136420.276883,
2028,138794.113582,
2029,141813.026733,
2030,143708.078315,
2031,147068.502528,
2032,150449.015627,
2033,153849.617612,
2034,157590.614611,
2035,160068.243888,
