year,Base case diesel consumed,Modeled non-residential ashp
2017,49505.0256571,31215.6991406
2018,51414.3945244,33125.0680079
2019,51414.3945244,33125.0680079
2020,51414.3945244,33125.0680079
2021,51414.3945244,33125.0680079
2022,51414.3945244,33125.0680079
2023,51414.3945244,33125.0680079
2024,51414.3945244,33125.0680079
2025,53323.7633918,35034.4368753
2026,53323.7633918,35034.4368753
2027,53323.7633918,35034.4368753
2028,53323.7633918,35034.4368753
2029,55233.1322591,36943.8057426
2030,55233.1322591,36943.8057426
2031,55233.1322591,36943.8057426
