year,Base case cost,Modeled wind power
2019,109734.580372,
2020,117603.99251,
2021,123097.935778,
2022,127735.12757,
2023,130630.612171,
2024,133095.958269,
2025,136453.311145,
2026,140265.481237,
2027,142920.348389,
2028,145865.190415,
2029,149264.849656,
2030,151786.60424,
2031,155655.182817,
2032,159223.20993,
2033,163112.94169,
2034,167464.541725,
2035,170037.4165,
2036,174075.244332,
2037,177114.394295,
2038,181515.351756,
