year,Base case diesel consumed,"Eagle (eagle village, american creek)"
2021,53681.7964825,42345.6669367
2022,53607.800697,42271.6711512
2023,53533.8049115,42197.6753657
2024,53459.8091261,42123.6795803
2025,53385.8133406,42049.6837948
2026,53311.8175551,41975.6880093
2027,53237.8217696,41901.6922239
2028,53163.8259842,41827.6964384
2029,53089.8301987,41753.7006529
2030,53015.8344132,41679.7048674
2031,53015.8344132,41679.7048674
2032,52941.8386278,41605.709082
2033,52793.8470568,41457.717511
2034,52719.8512713,41383.7217255
2035,52645.8554859,41309.7259401
2036,52645.8554859,41309.7259401
2037,52571.8597004,41235.7301546
2038,52497.8639149,41161.7343691
2039,52423.8681294,41087.7385837
2040,52423.8681294,41087.7385837
2041,52349.872344,41013.7427982
2042,52275.8765585,40939.7470127
2043,52275.8765585,40939.7470127
2044,52201.880773,40865.7512272
2045,52201.880773,40865.7512272
2046,52127.8849876,40791.7554418
2047,52127.8849876,40791.7554418
2048,52053.8892021,40717.7596563
2049,52053.8892021,40717.7596563
2050,51979.8934166,40643.7638708
