year,Base case cost,Modeled water and wastewater efficiency
2017,31179.5255015,19957.6578715
2018,32918.604071,20910.9235916
2019,35206.2222644,22163.5820509
2020,36384.4423283,22814.4607707
2021,37225.828703,23282.8418858
2022,37924.8818538,23674.4723946
2023,38430.741362,23961.5533528
2024,38939.1234419,24250.4614678
2025,39448.533297,24540.1665985
2026,40057.8254078,24884.4262319
2027,40617.4301752,25201.6827986
2028,41076.5921894,25464.1993798
2029,41640.4602959,25784.5196909
2030,42052.013327,26021.6246792
2031,42666.9362841,26370.0335498
