year,Base case diesel consumed,Modeled solar power (pv)
2016,73365.5493726,72003.4877982
2017,73925.057852,72573.8927703
2018,74484.5663315,73144.2105704
2019,75044.074811,73714.441896
2020,75533.6447306,74214.6488789
2021,76093.15321,74784.7093252
2022,76652.6616895,75354.6853558
2023,77212.170169,75924.5776459
2024,77701.7400886,76424.4483056
2025,78261.2485681,76994.1751194
2026,78820.7570475,77563.8201865
2027,79310.3269671,78063.4456009
2028,79799.8968866,78562.9905714
2029,80359.4053661,79132.3943014
2030,80848.9752857,79631.7803095
2031,81338.5452052,80131.0877888
2032,81828.1151248,80630.3173677
2033,82317.6850443,81129.4696693
2034,82737.3164039,81558.6067519
2035,83226.8863235,82057.6063487
