year,Base case cost,"Russian mission -- unnamed creek, 5"
2021,292958.639859,1434319.08225
2022,303544.540291,1410869.48857
2023,311165.045781,1387524.95229
2024,318577.134363,1364598.10207
2025,326349.406529,1342642.86418
2026,335776.425023,1321724.80939
2027,344206.819037,1301000.56472
2028,351119.546301,1280542.75213
2029,360010.13604,1261404.23165
2030,366245.858044,1241975.89328
2031,375784.078848,1223951.06077
2032,386228.703389,1206743.20156
2033,395948.065063,1189923.17199
2034,406240.223543,1173562.51682
2035,413637.625028,1157218.75959
2036,424442.433152,1142324.11377
2037,431618.129402,1126689.6667
2038,442592.188841,1112873.46673
2039,450740.031074,1098491.72038
2040,462365.218506,1085586.39337
2041,464635.424162,1070425.079
2042,466905.629817,1055672.31587
2043,468797.467863,1040940.16103
2044,471067.673519,1026975.99857
2045,472959.511565,1013013.96156
2046,475229.717221,999801.867345
2047,477121.555267,986574.271957
2048,479013.393313,973701.03829
2049,480905.231359,961173.860855
2050,482797.069406,948984.629193
2051,482797.069406,935233.584575
2052,482797.069406,921804.830058
2053,482797.069406,908690.812023
2054,482797.069406,895884.153677
2055,482797.069406,883377.651428
2056,482797.069406,871164.270336
2057,482797.069406,859237.140379
2058,482797.069406,847589.552483
2059,482797.069406,836214.955022
2060,482797.069406,825106.949613
2061,482797.069406,814259.288088
2062,482797.069406,803665.868635
2063,482797.069406,793320.732419
2064,482797.069406,783218.060426
2065,482797.069406,773352.169734
2066,482797.069406,763717.510822
2067,482797.069406,754308.664307
2068,482797.069406,745120.337556
2069,482797.069406,736147.362238
2070,482797.069406,727384.691053
