year,Base case cost,Modeled wind power
2019,262654.261839,458279.582141
2020,280229.82195,468753.642288
2021,292958.639859,475262.891523
2022,303544.540291,480068.748974
2023,311165.045781,482456.109409
2024,318577.134363,484739.667199
2025,326349.406529,487485.570961
2026,335776.425023,491766.102557
2027,344206.819037,495257.382529
2028,351119.546301,497546.028309
2029,360010.13604,501685.566285
2030,366245.858044,503590.804627
2031,375784.078848,508447.380585
2032,386228.703389,514186.951985
2033,395948.065063,519395.710455
2034,406240.223543,525149.84865
2035,413637.625028,528529.594633
2036,424442.433152,534955.677392
2037,431618.129402,538269.279617
2038,442592.188841,545016.529204
