year,Base case diesel consumed,Modeled wind power
2019,75044.074811,62171.0206698
2020,75533.6447306,62660.5905893
2021,76093.15321,63220.0990688
2022,76652.6616895,63779.6075483
2023,77212.170169,64339.1160278
2024,77701.7400886,64828.6859473
2025,78261.2485681,65388.1944268
2026,78820.7570475,65947.7029063
2027,79310.3269671,66437.2728258
2028,79799.8968866,66926.8427454
2029,80359.4053661,67486.3512249
2030,80848.9752857,67975.9211444
2031,81338.5452052,68465.491064
2032,81828.1151248,68955.0609835
2033,82317.6850443,69444.6309031
2034,82737.3164039,69864.2622627
2035,83226.8863235,70353.8321822
2036,83716.456243,70843.4021018
2037,84136.0876027,71263.0334614
2038,84625.6575222,71752.603381
