year,annotation,diesel generation efficiency
2002,,13.54
2003,,13.42
2004,,13.59
2005,,13.53
2006,,13.8
2007,,13.56
2008,,13.86
2009,,13.87
2010,,13.83
2011,,12.98
2012,,12.83
2013,,14.7
2014,,13.89
2015,,14.31
2016,start of forecast,14.3
2017,,14.3
2018,,14.3
2019,,14.3
2020,,14.3
2021,,14.3
2022,,14.3
2023,,14.3
2024,,14.3
2025,,14.3
2026,,14.3
2027,,14.3
2028,,14.3
2029,,14.3
2030,,14.3
2031,,14.3
2032,,14.3
2033,,14.3
2034,,14.3
2035,,14.3
2036,,14.3
2037,,14.3
2038,,14.3
2039,,14.3
2040,,14.3
