year,Base case diesel consumed,"Russian mission -- unnamed creek, 5"
2021,76093.15321,8914.78848076
2022,76652.6616895,9474.29696025
2023,77212.170169,10033.8054397
2024,77701.7400886,10523.3753593
2025,78261.2485681,11082.8838388
2026,78820.7570475,11642.3923183
2027,79310.3269671,12131.9622378
2028,79799.8968866,12621.5321574
2029,80359.4053661,13181.0406368
2030,80848.9752857,13670.6105564
2031,81338.5452052,14160.1804759
2032,81828.1151248,14649.7503955
2033,82317.6850443,15139.320315
2034,82737.3164039,15558.9516747
2035,83226.8863235,16048.5215942
2036,83716.456243,16538.0915138
2037,84136.0876027,16957.7228734
2038,84625.6575222,17447.2927929
2039,85045.2888818,17866.9241525
2040,85464.9202414,18286.5555121
2041,85884.551601,18706.1868718
2042,86304.1829607,19125.8182314
2043,86653.8757603,19475.5110311
2044,87073.5071199,19895.1423907
2045,87423.1999196,20244.8351903
2046,87842.8312792,20664.46655
2047,88192.5240789,21014.1593496
2048,88542.2168786,21363.8521493
2049,88891.9096783,21713.544949
2050,89241.602478,22063.2377487
2051,89241.602478,22063.2377487
2052,89241.602478,22063.2377487
2053,89241.602478,22063.2377487
2054,89241.602478,22063.2377487
2055,89241.602478,22063.2377487
2056,89241.602478,22063.2377487
2057,89241.602478,22063.2377487
2058,89241.602478,22063.2377487
2059,89241.602478,22063.2377487
2060,89241.602478,22063.2377487
2061,89241.602478,22063.2377487
2062,89241.602478,22063.2377487
2063,89241.602478,22063.2377487
2064,89241.602478,22063.2377487
2065,89241.602478,22063.2377487
2066,89241.602478,22063.2377487
2067,89241.602478,22063.2377487
2068,89241.602478,22063.2377487
2069,89241.602478,22063.2377487
2070,89241.602478,22063.2377487
