year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,16934.88,792889.0,792889.0
2004,,16934.88,799971.0,799971.0
2005,,16934.88,784854.0,784854.0
2006,,16934.88,795960.0,795960.0
2007,,16934.88,827645.0,827645.0
2008,,16934.88,867359.0,867359.0
2009,,16934.88,945466.0,945466.0
2010,,16934.88,1155510.0,1155510.0
2011,,16934.88,1115470.0,1115470.0
2012,,16934.88,1055748.0,1055748.0
2013,,16934.88,1037258.0,1037258.0
2014,,16934.88,1039636.0,1039636.0
2015,,16934.88,997381.0,997381.0
2016,start of forecast,16934.88,1049000.0,1049000.0
2017,,16934.88,1057000.0,1057000.0
2018,,16934.88,1065000.0,1065000.0
2019,,16934.88,1073000.0,1073000.0
2020,,16934.88,1080000.0,1080000.0
2021,,16934.88,1088000.0,1088000.0
2022,,16934.88,1096000.0,1096000.0
2023,,16934.88,1104000.0,1104000.0
2024,,16934.88,1111000.0,1111000.0
2025,,16934.88,1119000.0,1119000.0
2026,,16934.88,1127000.0,1127000.0
2027,,16934.88,1134000.0,1134000.0
2028,,16934.88,1141000.0,1141000.0
2029,,16934.88,1149000.0,1149000.0
2030,,16934.88,1156000.0,1156000.0
2031,,16934.88,1163000.0,1163000.0
2032,,16934.88,1170000.0,1170000.0
2033,,16934.88,1177000.0,1177000.0
2034,,16934.88,1183000.0,1183000.0
2035,,16934.88,1190000.0,1190000.0
2036,,16934.88,1197000.0,1197000.0
2037,,16934.88,1203000.0,1203000.0
2038,,16934.88,1210000.0,1210000.0
2039,,16934.88,1216000.0,1216000.0
2040,,16934.88,1222000.0,1222000.0
