year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,103650.0,76640.305147
2018,103650.0,76640.305147
2019,103650.0,76640.305147
2020,103650.0,76640.305147
2021,103650.0,76640.305147
2022,103650.0,76640.305147
2023,103650.0,76640.305147
2024,103650.0,76640.305147
2025,103650.0,76640.305147
2026,103650.0,76640.305147
2027,103650.0,76640.305147
2028,103650.0,76640.305147
2029,103650.0,76640.305147
2030,103650.0,76640.305147
2031,103650.0,76640.305147
2032,,
2033,,
2034,,
2035,,
2036,,
