year,Base case cost,Modeled water and wastewater efficiency
2017,44987.5620757,59332.9636792
2018,48289.8269583,60971.5971375
2019,52876.8328077,63514.6188375
2020,54952.5775483,64334.6928149
2021,56219.5668158,64608.1911322
2022,57349.1578601,64804.092322
2023,57957.3105947,64652.1163743
2024,58570.1625814,64518.5894865
2025,59083.4017197,64326.0830408
2026,59723.9862629,64233.0740333
2027,60173.6110003,64019.4665576
2028,60472.4006442,63714.8641051
2029,60998.4111189,63579.4809337
2030,61222.0730984,63247.069441
2031,61928.362891,63258.9930199
