year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6904.88392035,4488.17454823
2018,6868.26940269,4464.37511175
2019,6835.46344268,4443.05123774
2020,6801.87903615,4421.2213735
2021,6758.0754948,4392.74907162
2022,6740.85466011,4381.55552907
2023,6717.70100493,4366.5056532
2024,6708.6527789,4360.62430628
2025,6675.99527435,4339.39692833
2026,6633.18206596,4311.56834287
2027,6583.48106353,4279.26269129
2028,6543.0930777,4253.0105005
2029,6503.96642354,4227.5781753
2030,6469.19491308,4204.9766935
2031,6427.86814884,4178.11429675
