year,Base case cost,Modeled solar power (pv)
2016,709149.955825,773597.429245
2017,868388.753737,928930.953696
2018,987265.619113,1044578.08036
2019,1150212.86794,1203704.0682
2020,1227329.81901,1278314.30244
2021,1278291.93655,1327173.61624
2022,1320297.28777,1367296.10767
2023,1345451.54561,1390840.0313
2024,1368327.61093,1412200.14626
2025,1391875.43373,1434210.64679
2026,1421750.82191,1462471.58827
2027,1446630.72835,1485829.48203
2028,1464342.53201,1502165.0132
2029,1490212.25526,1526580.83685
2030,1504642.601,1539754.31634
2031,1537349.59151,1570963.93261
2032,1563141.31289,1595345.66082
2033,1587132.93943,1617959.42594
2034,1615891.42155,1645318.66923
2035,1629292.2771,1657561.50774
