year,Base case diesel consumed,Modeled wind power
2019,405004.530966,337268.695359
2020,403726.914149,335991.078542
2021,401978.5964,334242.760792
2022,401306.166496,333570.330889
2023,400432.007621,332696.172014
2024,400095.79267,332359.957062
2025,398818.175853,331082.340245
2026,397137.101094,329401.265486
2027,395254.297363,327518.461756
2028,393640.465595,325904.629987
2029,392161.119807,324425.284199
2030,390816.259999,323080.424392
2031,389202.42823,321466.592623
2032,386916.166558,319180.330951
2033,384293.689934,316557.854326
2034,382007.428261,314271.592654
2035,379788.409579,312052.573972
2036,378107.33482,310371.499213
2037,376493.503052,308757.667444
2038,374879.671283,307143.835675
