year,Base case diesel consumed,Lake redfield
2021,401978.5964,215898.044187
2022,401306.166496,215225.614283
2023,400432.007621,214351.455409
2024,400095.79267,214015.240457
2025,398818.175853,212737.62364
2026,397137.101094,211056.548881
2027,395254.297363,209173.745151
2028,393640.465595,207559.913382
2029,392161.119807,206080.567594
2030,390816.259999,204735.707787
2031,389202.42823,203121.876018
2032,386916.166558,200835.614345
2033,384293.689934,198213.137721
2034,382007.428261,195926.876049
2035,379788.409579,193707.857367
2036,378107.33482,192026.782608
2037,376493.503052,190412.950839
2038,374879.671283,188799.11907
2039,373131.353533,187050.801321
2040,371719.250736,185638.698523
2041,370038.175977,183957.623764
2042,368424.344208,182343.791995
2043,366944.99842,180864.446207
2044,365936.353564,179855.801352
2045,364322.521796,178241.969583
2046,363179.390959,177098.838747
2047,361969.017133,175888.46492
2048,360758.643306,174678.091094
2049,359817.241441,173736.689228
2050,358674.110605,172593.558392
2051,358674.110605,172593.558392
2052,358674.110605,172593.558392
2053,358674.110605,172593.558392
2054,358674.110605,172593.558392
2055,358674.110605,172593.558392
2056,358674.110605,172593.558392
2057,358674.110605,172593.558392
2058,358674.110605,172593.558392
2059,358674.110605,172593.558392
2060,358674.110605,172593.558392
2061,358674.110605,172593.558392
2062,358674.110605,172593.558392
2063,358674.110605,172593.558392
2064,358674.110605,172593.558392
2065,358674.110605,172593.558392
2066,358674.110605,172593.558392
2067,358674.110605,172593.558392
2068,358674.110605,172593.558392
2069,358674.110605,172593.558392
2070,358674.110605,172593.558392
