year,Base case diesel consumed,Modeled non-residential ashp
2017,313249.201759,219274.441137
2018,313249.201759,219274.441137
2019,313249.201759,219274.441137
2020,313249.201759,219274.441137
2021,313249.201759,219274.441137
2022,313249.201759,219274.441137
2023,313249.201759,219274.441137
2024,313249.201759,219274.441137
2025,313249.201759,219274.441137
2026,313249.201759,219274.441137
2027,313249.201759,219274.441137
2028,313249.201759,219274.441137
2029,313249.201759,219274.441137
2030,313249.201759,219274.441137
2031,313249.201759,219274.441137
