year,Base case cost,Modeled biomass for heat (cordwood)
2017,805464.426715,1000472.77482
2018,899439.126715,1065558.22885
2019,1027871.21672,1156225.12149
2020,1090521.01672,1198352.35966
2021,1134375.87672,1226680.71179
2022,1168833.26672,1248156.49826
2023,1190760.69672,1260461.25907
2024,1209555.63672,1270541.42142
2025,1231483.06672,1283027.2554
2026,1259675.47672,1300232.87284
2027,1284735.39672,1315207.60028
2028,1303530.33672,1325633.22944
2029,1328590.25672,1340772.64196
2030,1344252.70672,1349042.88779
2031,1375577.60672,1368971.77348
2032,,
2033,,
2034,,
2035,,
2036,,
