year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,313249.0,231620.861414
2018,313249.0,231620.861414
2019,313249.0,231620.861414
2020,313249.0,231620.861414
2021,313249.0,231620.861414
2022,313249.0,231620.861414
2023,313249.0,231620.861414
2024,313249.0,231620.861414
2025,313249.0,231620.861414
2026,313249.0,231620.861414
2027,313249.0,231620.861414
2028,313249.0,231620.861414
2029,313249.0,231620.861414
2030,313249.0,231620.861414
2031,313249.0,231620.861414
2032,,
2033,,
2034,,
2035,,
2036,,
